SUBURB_NAME,DATE_MONTH,avg_land_value,property_count,DATE_MONTH_QDATE,property_count_int,avg_land_value_decimal
EDROM,2019-07-01,"460758.82352941175","17",2019/07/01,"17",460758.82
EDROM,2020-07-01,"460758.82352941175","17",2020/07/01,"17",460758.82
HEATHERBRAE,2020-07-01,"460755.21212121204","330",2020/07/01,"330",460755.21
POTTSVILLE,2018-07-01,"460742.05846027122","2429",2018/07/01,"2429",460742.06
BACKWATER,2016-07-01,"460708.69565217389","23",2016/07/01,"23",460708.70
WYANGLE,2019-07-01,"460669.76744186052","43",2019/07/01,"43",460669.77
CARWOOLA,2016-07-01,"460480.01858736051","538",2016/07/01,"538",460480.02
WASHPOOL,2018-07-01,"460447.6470588235","17",2018/07/01,"17",460447.65
WASHPOOL,2019-07-01,"460447.6470588235","17",2019/07/01,"17",460447.65
STONEQUARRY,2016-07-01,"460414.28571428568","14",2016/07/01,"14",460414.29
ARKELL,2016-07-01,"460342.8571428571","35",2016/07/01,"35",460342.86
BROADMEADOW,2016-07-01,"460272.50677200896","886",2016/07/01,"886",460272.51
