SUBURB_NAME,DATE_MONTH,avg_land_value,property_count,DATE_MONTH_QDATE,property_count_int,avg_land_value_decimal
DAROOBALGIE,2017-07-01,"444418.23529411765","51",2017/07/01,"51",444418.24
PINKETT,2018-07-01,"444404.66666666669","45",2018/07/01,"45",444404.67
EMU PLAINS,2018-07-01,"444373.01130524138","2919",2018/07/01,"2919",444373.01
SADLEIR,2019-07-01,"444337.97606093547","919",2019/07/01,"919",444337.98
TERRAMUNGAMINE,2018-07-01,"444332.19178082183","146",2018/07/01,"146",444332.19
POINTER MOUNTAIN,2017-07-01,"444250","10",2017/07/01,"10",444250.00
HOSKINSTOWN,2017-07-01,"444239.08045977011","87",2017/07/01,"87",444239.08
MOONPAR,2019-07-01,"444221.42857142858","14",2019/07/01,"14",444221.43
MAULES CREEK,2018-07-01,"444219.20454545459","88",2018/07/01,"88",444219.20
BODANGORA,2016-07-01,"444212.28070175438","57",2016/07/01,"57",444212.28
MOUNT ANNAN,2017-07-01,"444160.84526059963","3703",2017/07/01,"3703",444160.85
SHOAL BAY,2017-07-01,"444132.07134637533","869",2017/07/01,"869",444132.07
SCOTLAND ISLAND,2018-07-01,"444084.86910994782","382",2018/07/01,"382",444084.87
MARAYONG,2017-07-01,"444058.78147847293","2462",2017/07/01,"2462",444058.78
MEGAN,2020-07-01,"443961.62790697685","86",2020/07/01,"86",443961.63
TULLIBIGEAL,2016-07-01,"443946.16113744082","211",2016/07/01,"211",443946.16
BALACLAVA,2019-07-01,"443860.57613168709","243",2019/07/01,"243",443860.58
HOWICK,2016-07-01,"443831.81818181818","22",2016/07/01,"22",443831.82
WOOLBROOK,2017-07-01,"443817.8640776698","103",2017/07/01,"103",443817.86
LOSTOCK,2017-07-01,"443794.59459459462","37",2017/07/01,"37",443794.59
NARRAWA,2016-07-01,"443778.70129870129","77",2016/07/01,"77",443778.70
TIRI,2020-07-01,"443777.77777777775","9",2020/07/01,"9",443777.78
GOLSPIE,2018-07-01,"443757.26415094326","106",2018/07/01,"106",443757.26
ADAMSTOWN,2016-07-01,"443751.1378353379","2162",2016/07/01,"2162",443751.14
ELDERSLIE,2020-07-01,"443746.80045437283","2641",2020/07/01,"2641",443746.80
TUNCESTER,2018-07-01,"443683.87096774194","31",2018/07/01,"31",443683.87
MOUNT PLEASANT,2016-07-01,"443667.32283464575","508",2016/07/01,"508",443667.32
TIBBUC,2019-07-01,"443645.99999999994","25",2019/07/01,"25",443646.00
EURUNDEREE,2020-07-01,"443554.59677419357","124",2020/07/01,"124",443554.60
BINGIE,2020-07-01,"443543.30708661408","127",2020/07/01,"127",443543.31
BINDERA,2020-07-01,"443517.24137931032","29",2020/07/01,"29",443517.24
BINDERA,2019-07-01,"443482.75862068962","29",2019/07/01,"29",443482.76
MARCH,2018-07-01,"443383.99999999994","50",2018/07/01,"50",443384.00
PLUMPTON,2018-07-01,"443367.49221949209","2442",2018/07/01,"2442",443367.49
UMINA BEACH,2018-07-01,"443354.00064318947","6219",2018/07/01,"6219",443354.00
STANWELL TOPS,2016-07-01,"443351.41409691639","227",2016/07/01,"227",443351.41
BONNYRIGG,2016-07-01,"443306.32229901792","2749",2016/07/01,"2749",443306.32
GREENWICH PARK,2019-07-01,"443288.79999999993","125",2019/07/01,"125",443288.80
GLENGARRIE,2017-07-01,"443269.23076923081","26",2017/07/01,"26",443269.23
NELSONS PLAINS,2019-07-01,"443226.72131147538","122",2019/07/01,"122",443226.72
THIRLDENE,2017-07-01,"443212.5","16",2017/07/01,"16",443212.50
MAITLAND VALE,2017-07-01,"443202.3255813953","86",2017/07/01,"86",443202.33
DAVIS CREEK,2020-07-01,"443177.5","16",2020/07/01,"16",443177.50
HARTLEY,2020-07-01,"443126.89497716911","219",2020/07/01,"219",443126.89
APPIN,2016-07-01,"443067.98573975026","1122",2016/07/01,"1122",443067.99
MOUNT KINGIMAN,2016-07-01,"443000","3",2016/07/01,"3",443000.00
DUNNS CREEK,2020-07-01,"443000","1",2020/07/01,"1",443000.00
WINDANG,2019-07-01,"442991.00529100536","756",2019/07/01,"756",442991.01
CURRARONG,2017-07-01,"442933.80952380964","567",2017/07/01,"567",442933.81
HINCHINBROOK,2020-07-01,"442794.78438778734","3177",2020/07/01,"3177",442794.78
